,Номенклатура,КлассТовара
111,"Телевизор LCD 42"" (106 см) LG 42LK530 [FHD, 1920x1080, 150000:1, 100Гц, DVB-T/С, 10 Вт х2, HDMI x3, USB(DivX)]",Наиболее продаваемый
112,"Веб-камера A4Tech PK-710G, 640x480, USB 2.0",Наиболее продаваемый
113,Плата ASUS LGA775 P5G41T-M LX2 G41/ICH7 2xDDR3-1333 PCI-E DSub 8ch 4xSATA IDE GLAN mATX _,Наиболее продаваемый
114,Extreme [0132139] Core i3-2120 (3.3GHz)/4GB/HD6770 (1024)/1Tb/DVD±RW/CR/Без ПО,Наиболее продаваемый
115,"Монитор Envision 24"" P2471hL [LED, Full HD, 1920x1080, DC 50M:1, 5мс, 170гор/160вер, D-Sub, DVI, HDMI, 2 x 1Вт]",Наиболее продаваемый
116,Porto  [0131407] Atom D525 (1.8GHz)/2Gb/320GB/Wi-Fi/D-sub/Без ПО,Наиболее продаваемый
117,Диск DVD-R 4.7Gb Cake Box  25 шт. (VS) 16x,Наиболее продаваемый
118,"Зеркальная камера Canon EOS 1100D Kit 18-55DC (12MP/4272x2848/EF,EF-S/SD,SDHC/LP-E10/2.7"")",Наиболее продаваемый
119,"Цифровая камера Kodak EasyShare C1505 Black (12 MPix 4102×3057 5xZoom SDHC 2xAA LCD2.5"")",Наиболее продаваемый
120,Видеокарта PCI-E Palit GeForce GT 440 1024MB 128bit GDDR5 DVI D-Sub HDMI,Наиболее продаваемый
121,"Телевизор LED 19"" (48 см) Rubin 19SL1U [HD, 1366x768, 40К:1, HDMIx2, USB] черный",Наиболее продаваемый
122,"Внешний HDD WD 320GB Elements Portable [WDBAAR3200ABK] 2.5"" USB 2.0",Наиболее продаваемый
123,"Монитор LG  20"" Flatron W2043S/W2043SE/W2043С [1600x900, DC 30000:1, 5мс, 170гор/160вер, TCO03]",Наиболее продаваемый
124,Смартфон HTC Desire S Grey 1GHz/768Mb+1.1Гб/480x800/microSD/GSM/3G/EDGE/GPS/BT/WiFi/Cam5/Android,Наиболее продаваемый
125,"Охлаждение для ноутбука DEEPCOOL N8 ULTRA (Al+пластик, 2x140mm вентилятора, 700-1200 rpm, 21-27 dBA, до 17'', 4xUSB) W",Наиболее продаваемый
126,Клавиатура+мышь проводная Gigabyte GK-KM6150 Multimedia USB,Наиболее продаваемый
127,"Колонки 2.0 Dialog AD-06 Black/Cherry [2х12Вт,материал дерево]",Наиболее продаваемый
128,Плеер MP3 Explay Х1 4Gb [цвет белый+синий],Наиболее продаваемый
129,"Футляр Emerald Luna GD 20 универсальный, и/кожа, черный, р-р Samsung Galaxy S1",Наиболее продаваемый
130,Коврик Nova Luxe (Графит),Наиболее продаваемый
131,Адаптер USB A (вилка) -> LPT (прямое подключение к LPT порту принтера) 1.8m,Наиболее продаваемый
132,МФУ HP DeskJet 3050A  J611b  (CR231C  Принтер/ Копир/ Сканер:  A4  4800x1200dpi  20ppm  Wi-Fi 802.11b/g  USB2.0),Наиболее продаваемый
133,"Мультимедиа плеер teXet T-449 [TFT дисплей 1,8"", 4Gb,  диктофон, FM-радио, таймер сна, 7 настроек эквалайзера, Li-Pol]",Наиболее продаваемый
134,Клавиатура проводная A4Tech X7-G700 Professional Game Keyboard PS/2,Наиболее продаваемый
135,Мышь проводная A4Tech N-400-2 V-Track Black+Red USB,Наиболее продаваемый
136,"Чехол Case Logic TBC-304K, нейлон, чёрный (15.1 x 10.5 x 7.3 см)",Наиболее продаваемый
137,ПО Dr. Web Security Space 2 ПК/1 год [AHW-B-12M-2-A2/BHW-B-12M-2-A2],Наиболее продаваемый
138,"15.6"" Сумка DNS/AirTone AT-V215BL, нейлон, черный",Наиболее продаваемый
139,"ИБП IPPON  Back Power PRO 500 (линейно-интерактивный, 500ВА, 3 роз IEC 320, USB, защита тел/модем линии)",Наиболее продаваемый
140,Тонер B&W (STA-517) для Brother TN 2075/HL 2030 (140 г.) (Совм.),Наиболее продаваемый
141,"10.1"" Ноутбук Acer Aspire One AOHAPPY2-N578DQpp/Strawberry Yogurt Pink (WSVGA) Intel Atom N570(1.66)/2048/320/WiFi/BT/Ca",Наиболее продаваемый
142,"Кронштейн для TВ Kromax Star-40 [600x400; Накл.; Наклон -15°/15°; Поворот 0°; Раст. от стены 67 мм; До 65 кг; 32""-65""; Черный]",Наиболее продаваемый
143,"Наушники Philips SBCHL145 [накладные, открытые,18- 20000 Гц, каб. 1.2м, штекер 3.5мм, серые]",Наиболее продаваемый
144,Диск DVD+RW 4.7Gb Cake Box 10 шт. (Verbatim) 4x,Наиболее продаваемый
145,Мышь проводная DNS HOME WRD-022GI Black USB,Наиболее продаваемый
146,"Наушники Sony MDR-E818LP [вклад, откр,12-22000 Гц, каб 1м, штекер 3.5мм, черные]",Наиболее продаваемый
147,"Смартфон Samsung GT-i9100 Galaxy S II 4.3"" 16Gb White 2x1.2Ghz/1024Mb/480x800/SuperAmoled Plus/3G/GPS/Cam8/Android 2.3",Наиболее продаваемый
148,"Монитор Acer 18.5"" P196HQVb [1366x768, 5000:1, 5 мс, 160гор/160вер, D-Sub]",Наиболее продаваемый
149,"Считыватель универсальный 3.5"" Card Reader (+ USB port) Black",Наиболее продаваемый
150,Маршрутизатор ASUS RT-N12 4x10/100Base-TX + 802.11n (до 300Mbit/s) +1xWAN,Наиболее продаваемый
151,"16"" Сумка DNS/AirTone AT-V116 Silver, нейлон, серебро",Наиболее продаваемый
152,Память SanDisk (SDHC) 4 Gb class 2/4,Наиболее продаваемый
153,Считыватель Jet.A JA-CR4 [SD/SDHC/MicroSD/MS/xD/M2] + USB2.0HUB   USB2.0 Grey,Наиболее продаваемый
154,"15.6"" [Gamer] Ноутбук DNS (0133834) (HD) i5-2520M(2.5)/4096/640/NV GT555M 1Gb/DVD-Smulti/WiFi/BT/Cam/No OS",Наиболее продаваемый
155,АЗУ Prolife (2xUSB 2А),Наиболее продаваемый
156,Принтер HP DeskJet 2000 - J210a  (CH390C  A4  4800x1200dpi  20ppm  USB2.0),Наиболее продаваемый
157,"Чехол Riva 7062 (PU), полиуретан, серый (10.0 x 6.5 x 1.5 см)",Наиболее продаваемый
158,Клавиатура проводная A4Tech KBS-750 Ergo Black PS/2,Наиболее продаваемый
159,"Колонки 2.0 Dialog AD-04 Black [2х8Вт,материал дерево]",Наиболее продаваемый
160,"Цифровая камера FujiFilm FinePix JV200 Black (14MPix 4288x3216 3xZoom SD/SDHC LCD2.7"" NP-45A USB2.0)",Наиболее продаваемый
161,"Монитор Samsung 21.5"" S22A300N [LED, 1920x1080, 1000:1, 5 мс, 170гор/160вер, D-Sub]",Наиболее продаваемый
162,"11.1"" Чехол Tucano Youngster (BFNY), полиэстер, черный",Наиболее продаваемый
163,Фотобумага Lomond A4 [0808411] 140 г\м² термоперенос для светлых тканей (10 л.),Наиболее продаваемый
164,Мышь беспроводная A4Tech G7-100N-2 V-Track White USB,Наиболее продаваемый
165,"Телевизор LCD 32"" (81 см) Philips 32PFL3605/3615 [Full HD, 1920x1080, 50000:1, 10 Вт х 2, HDMI x2, USB]",Наиболее продаваемый
166,"Колонки 2.1 Dialog W-3000/2 Black/Cherry [сателлиты 20 Вт х 2, сабвуфер 30 Вт]",Наиболее продаваемый
167,Картридж HP 27 (C8727AE)  для DJ 3320/3325/3420/3745  Black (Ориг.),Наиболее продаваемый
168,"БП FSP PNR 600W (ATX v2.2, Active PFC, 120mm Fan, 24+4+4 pin, 6xSATA, PCI-E, OEM) [ATX-600-PNR]",Наиболее продаваемый
169,"Радиотелефон Philips CD1701B  [DECT, подсветка дисплея, тел.книга 50 записей, черный, аккум.2хААА]",Наиболее продаваемый
170,"Пленка защитная MobilStyle универсальная 3,5"" (Матовая, размер: 50х70 мм)",Наиболее продаваемый
171,ИБП DNS SMART PRO 600VA,Наиболее продаваемый
172,Коврик A4Tech 650MP Gaming Mouse Pad 230X280mm,Наиболее продаваемый
173,"Наушники RITMIX RH-102 [вклад, откр, 20-20000 Гц, каб 1.2м, штекер 3.5мм, черные]",Наиболее продаваемый
174,"Точка доступа D-Link DAP-1360U 802.11n, до 300Mbit/s, поддержка WISP (Wireless Internet Service Provider)",Наиболее продаваемый
175,Считыватель Transcend TS-RDP8K [CF/MMC/SDHC/MS/MicroDrive] USB2.0 Black,Наиболее продаваемый
176,"Зарядное устройство GP PowerBank S350 210 (2/4 x AA/AAA NiMH, 4 x GP 2100 Series AA, время зарядa ~ 13 час.)",Наиболее продаваемый
